# Captured 2020-02-08
# rtings.com list of all headphones.
# used in project deltaEQ

1More Piston Classic|headphones/1more/piston-classic
Sony WF-1000XM3|headphones/sony/wf-1000xm3
Sony WI-XB400|headphones/sony/wi-xb400
Sound Intone CX-05|headphones/sound-intone/cx-05
SoundPeats Q8|headphones/soundpeats/q8
SoundPeats Q9A|headphones/soundpeats/q9a
SoundPeats TrueFree|headphones/soundpeats/truefree
SoundPeats QY8|headphones/soundpeats/qy8
SoundPeats QY9|headphones/soundpeats/qy9
Stax SR-L300|headphones/stax/sr-l300
SteelSeries Arctis 7|headphones/steelseries/arctis-7
SteelSeries Siberia 200|headphones/steelseries/siberia-200
SteelSeries Arctis Pro GameDAC|headphones/steelseries/arctis-pro-gamedac
SteelSeries Arctis Pro Wireless|headphones/steelseries/arctis-pro-wireless
SteelSeries Arctis 7 2019 Edition|headphones/steelseries/arctis-7-2019-edition
SteelSeries Arctis 5 2019 Edition|headphones/steelseries/arctis-5-2019-edition
SteelSeries Arctis 3 2019 Edition|headphones/steelseries/arctis-3-2019-edition
SteelSeries Arctis 9X|headphones/steelseries/arctis-9x
SteelSeries Arctis 1|headphones/steelseries/arctis-1
Superlux HD 681|headphones/superlux/hd-681
Superlux HD 681 EVO|headphones/superlux/hd-681-evo
Superlux HD 668B|headphones/superlux/hd-668b
Swimbuds Swimbuds|headphones/swimbuds/swimbuds
Symphonized NRG 3.0|headphones/symphonized/nrg-3-0
TIN Audio T2|headphones/tin-audio/t2
TIN Audio T3|headphones/tin-audio/t3
TREBLAB X5|headphones/treblab/x5
TaoTronics TT-BH060|headphones/taotronics/tt-bh060
Tascam TH-02|headphones/tascam/th-02
Turtle Beach Elite 800|headphones/turtle-beach/elite-800
Turtle Beach Stealth 600|headphones/turtle-beach/stealth-600
Turtle Beach Stealth 700|headphones/turtle-beach/stealth-700
Turtle Beach Recon 50X|headphones/turtle-beach/recon-50x
Turtle Beach Stealth 300|headphones/turtle-beach/stealth-300
Turtle Beach Elite Pro 2 SuperAmp|headphones/turtle-beach/elite-pro-2-superamp
Turtle Beach Elite Atlas|headphones/turtle-beach/elite-atlas
Turtle Beach Recon 200|headphones/turtle-beach/recon-200
Turtle Beach Recon 70|headphones/turtle-beach/recon-70
V-MODA Crossfade M-100|headphones/v-moda/crossfade-m-100
V-MODA Crossfade II Wireless|headphones/v-moda/crossfade-ii-wireless
V-MODA BassFit Wireless|headphones/v-moda/bassfit-wireless
Venstone X1|headphones/venstone/x1
Westone W40|headphones/westone/w40
XFYRO xS2|headphones/xfyro/xs2
